index,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_1961373,Coffee,2,2,4,Credit Card,Takeaway,08-09-2023
1,TXN_4977031,Cake,4,3,12,Cash,In-store,16-05-2023
2,TXN_4271903,Cookie,4,1,12,Credit Card,In-store,19-07-2023
3,TXN_7034554,Salad,2,5,10,Credit Card,In-store,27-04-2023
4,TXN_3160411,Coffee,2,2,4,Digital Wallet,In-store,11-06-2023
5,TXN_2602893,Smoothie,5,4,20,Credit Card,In-store,31-03-2023
6,TXN_4433211,Smoothie,3,3,9,Credit Card,Takeaway,06-10-2023
7,TXN_6699534,Sandwich,4,4,16,Cash,Takeaway,28-10-2023
8,TXN_4717867,Sandwich,5,3,15,Cash,Takeaway,28-07-2023
9,TXN_2064365,Sandwich,5,4,20,Cash,In-store,31-12-2023
10,TXN_2548360,Salad,5,5,25,Cash,Takeaway,07-11-2023
11,TXN_3051279,Sandwich,2,4,8,Credit Card,Takeaway,07-11-2023
12,TXN_7619095,Sandwich,2,4,8,Cash,In-store,03-05-2023
13,TXN_9437049,Cookie,5,1,5,Cash,Takeaway,01-06-2023
14,TXN_8915701,Cookie,2,1.5,3,Cash,In-store,21-03-2023
15,TXN_2847255,Salad,3,5,15,Credit Card,In-store,15-11-2023
16,TXN_3765707,Sandwich,1,4,4,Credit Card,In-store,10-06-2023
17,TXN_6769710,Juice,2,3,6,Cash,In-store,24-02-2023
18,TXN_8876618,Cake,5,3,15,Cash,In-store,25-03-2023
19,TXN_3709394,Juice,4,3,12,Cash,Takeaway,15-01-2023
20,TXN_3522028,Smoothie,4,4,20,Cash,In-store,04-04-2023
21,TXN_3567645,Smoothie,4,4,16,Credit Card,Takeaway,30-03-2023
22,TXN_5132361,Sandwich,3,4,12,Digital Wallet,Takeaway,01-12-2023
23,TXN_2616390,Sandwich,2,4,8,Digital Wallet,Takeaway,18-09-2023
24,TXN_9400181,Sandwich,5,4,20,Cash,In-store,03-06-2023
25,TXN_7958992,Smoothie,3,4,20,Cash,In-store,13-12-2023
26,TXN_5183041,Cookie,5,1,5,Credit Card,In-store,20-04-2023
27,TXN_5695074,Juice,4,3,12,Credit Card,Takeaway,10-04-2023
28,TXN_8467949,Smoothie,5,4,20,Credit Card,Takeaway,11-03-2023
29,TXN_7640952,Cake,4,3,12,Digital Wallet,Takeaway,11-03-2023
30,TXN_1736287,Cake,5,2,10,Digital Wallet,Takeaway,02-06-2023
31,TXN_8927252,Cake,2,1,10,Credit Card,Takeaway,06-11-2023
32,TXN_9677376,Smoothie,4,4,16,Credit Card,In-store,15-08-2023
33,TXN_7710508,Smoothie,5,1,5,Cash,In-store,15-08-2023
34,TXN_8853997,Smoothie,2,4,8,Digital Wallet,Takeaway,09-10-2023
35,TXN_9130559,Sandwich,1,4,4,Credit Card,Takeaway,28-05-2023
36,TXN_6855453,Sandwich,4,3,12,Credit Card,In-store,17-07-2023
37,TXN_1080432,Salad,2,5,10,Credit Card,In-store,29-04-2023
38,TXN_2655815,Smoothie,4,4,16,Credit Card,Takeaway,08-06-2023
39,TXN_6688524,Coffee,4,2,8,Credit Card,Takeaway,29-06-2023
40,TXN_2083138,Smoothie,3,4,12,Credit Card,In-store,17-04-2023
41,TXN_2427584,Sandwich,4,4,16,Credit Card,Takeaway,22-12-2023
42,TXN_6650263,Tea,2,1.5,16,Credit Card,Takeaway,10-01-2023
43,TXN_9620080,Juice,4,3,12,Credit Card,Takeaway,02-10-2023
44,TXN_1491578,Cookie,2,1,2,Credit Card,Takeaway,23-02-2023
45,TXN_5455792,Salad,3,5,15,Cash,Takeaway,22-03-2023
46,TXN_8078640,Juice,4,3,12,Digital Wallet,In-store,03-11-2023
47,TXN_9499313,Juice,5,3,15,Digital Wallet,In-store,02-03-2023
48,TXN_8201146,Juice,5,3,15,Cash,In-store,26-06-2023
49,TXN_8230936,Cake,3,3,9,Cash,In-store,02-05-2023
50,TXN_7742742,Cake,5,3,15,Cash,Takeaway,05-09-2023
51,TXN_6342161,Salad,5,5,25,Cash,Takeaway,08-01-2023
52,TXN_8914892,Salad,5,5,25,Digital Wallet,Takeaway,15-03-2023
53,TXN_3363746,Smoothie,3,4,12,Credit Card,Takeaway,25-11-2023
54,TXN_8614868,Smoothie,5,4,20,Digital Wallet,Takeaway,05-12-2023
55,TXN_5522862,Cookie,5,1,2,Credit Card,Takeaway,19-03-2023
56,TXN_3578141,Cake,5,1,15,Credit Card,Takeaway,27-06-2023
57,TXN_2080895,Cake,5,3,3,Digital Wallet,In-store,19-04-2023
58,TXN_6421134,Sandwich,4,4,16,Cash,Takeaway,03-11-2023
59,TXN_8813311,Juice,5,3,15,Cash,In-store,07-10-2023
